Role Name,Kebab-Case ID,Website URL,Raw JSON URL,API Endpoint,Category
Programming Languages,,,,,
C++,cpp,https://roadmap.sh/cpp,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/cpp/cpp.json,/cpp.json,Programming Languages
Go,golang,https://roadmap.sh/golang,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/golang/golang.json,/golang.json,Programming Languages
Java,java,https://roadmap.sh/java,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/java/java.json,/java.json,Programming Languages
JavaScript,javascript,https://roadmap.sh/javascript,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/javascript/javascript.json,/javascript.json,Programming Languages
Kotlin,kotlin,https://roadmap.sh/kotlin,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/kotlin/kotlin.json,/kotlin.json,Programming Languages
PHP,php,https://roadmap.sh/php,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/php/php.json,/php.json,Programming Languages
Python,python,https://roadmap.sh/python,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/python/python.json,/python.json,Programming Languages
Rust,rust,https://roadmap.sh/rust,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/rust/rust.json,/rust.json,Programming Languages
Shell/Bash,shell-bash,https://roadmap.sh/shell-bash,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/shell-bash/shell-bash.json,/shell-bash.json,Programming Languages
Swift UI,swift-ui,https://roadmap.sh/swift-ui,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/swift-ui/swift-ui.json,/swift-ui.json,Programming Languages
TypeScript,typescript,https://roadmap.sh/typescript,https://raw.githubusercontent.com/kamranahmedse/developer-roadmap/master/src/data/roadmaps/typescript/typescript.json,/typescript.json,Programming Languages
Frontend & UI,,,,,
